Domain	Topic	News	Label
Celebrity	"ROSIE O FLEES CRAZY ""HOUSE IVES"" NEIGHBORS"	"Run ROSIE RUN – right back onto ""The View""!  HY?!"	Fake
Celebrity	Julia Roberts Cuddles Up to Danny Moder Ahead of Their 15th  edding Anniversary	Julia Roberts and husband Danny Moder were spotted on a casual outing in Malibu, CA, on Saturday afternoon. The couple, who is going on 15 years of marriage in July, put on a loving display as they wrapped their arms around each other and Julia appeared to whisper something in Danny's ear.  hile we haven't seen the couple out and about together since November, Julia made history in April when she was named People's Most Beautiful  oman for the fifth time. It was also revealed earlier this week that Julia will be returning to the big screen in Crystal City Entertainment's adaptation of The Bookseller. Julia will not only star in the film, but she's also producing the project alongside Lisa Gillan, Marisa Yeres Gill, Jonathan Rubenstein, and Ari Pinchot.	Legit
Celebrity	Digital Diva! Inside Caitlyn Jenner’s Secret Cyber Hookups	RadarOnline.com has exclusively learned that Caitlyn Jenner is exploring her sexuality online and has been enjoying a string of secret cyber “hookups”.	Fake
Celebrity	Michelle Obama open to plastic surgery, Botox injections	As first lady Michelle Obama prepares to turn 50 on Friday, she isn’t ruling out having some work done on her face in the future.	Legit
Celebrity	Beyoncé Serves Up Lots of Smiles at Serena  illiams'  edding to Alexis Ohanian	 hen she sees two people “Crazy in Love,” Beyoncé can’t help but smile.	Legit
Celebrity	Malia Obama Has Barack And Michelle  orried – Can She Handle Life Alone In New York City?	Malia Obama, 18, is adjusting to her new life outside of the  hite House and the changes are not easy to handle for her famous parents – former President Barack Obama and First Lady Michelle Obama.	Fake
Celebrity	Too Many Stars to Count Support Stand Up to Cancer	Loads of stars stepped out for the Hollywood Stands Up to Cancer event in LA on Tuesday night. The fundraiser, which was hosted by Reese  itherspoon and her husband, Jim Toth, brought out cute couples like Diane Kruger and Joshua Jackson and Jessica Alba and Cash  arren, as well as Selena Gomez, Drew Barrymore, and Gwyneth Paltrow. Gwyneth herself has been a longtime supporter of the Stand Up to Cancer program since her father, Bruce Paltrow, died of lung cancer in 2002.	Legit
Celebrity	Here's How Brad Pitt Feels About Donald Trump as President	As a southern man born in Oklahoma and raised in Missouri, Brad Pitt stems from a place where people typically support Donald Trump and his run in the 2016 Presidential Election.	Legit
Celebrity	Tyga To Reveal The Ugly Truth About Kylie Jenner And Kardashians In New Tell-All Book, Insiders Say	"Tyga and Kylie Jenner have made it to Splitsville, according to E! News, and it looks like things could get pretty ugly in the near future. Although the relationship is reportedly over, it doesn't look like the two have ended on amicable terms, and things are only beginning to heat up. According to Perez Hilton, Tyga is reportedly planning to release a tell-all book in the wake of his big break-up with Kylie. Insiders close to the ""Make It Nasty"" rapper have dropped a few details about the rumored upcoming book."	Fake
Celebrity	Taylor Swift's camp denies that singer is launching her own streaming service	A source close to Taylor Swift has reportedly denied suggestions that the singer is set to launch her own streaming service.	Legit
Celebrity	Heidi Klum and Seal Have a Friendly Reunion at Billboard Music Awards 2016	Heidi Klum and Seal were the epitome of friendly exes at the 2016 Billboard Music Awar Sunday night.	Legit
Celebrity	Justin Bieber pokes fun at himself after stepping out with an wet mark	Accidents happen, but this star is not sorry about it.	Fake
Celebrity	Jane Fonda really didn't want to talk about plastic surgery with Megyn Kelly	"Fonda appeared with Robert Redford on ""Megyn Kelly Today"" on  edesnday to promote their new film, ""Our Souls at Night."" But the interview took a turn mere minutes in as Kelly turned the conversation with the two legends to the subject of aging."	Legit
Celebrity	Halle Berry sparks pregnancy rumours after displaying baby bump on red carpet	Halle Berry, 50, has sparked rumours she is expecting her third child after debuting what looks like a ‘baby bump’ on the red carpet at the 16th Annual Chrysalis Butterfly Ball in Los Angeles.	Fake
Celebrity	"Miley Cyrus Reflects on Her Breakup  ith Liam Hemsworth: ""I  as on the Right Path"""	"Miley Cyrus recently dropped her new single, ""Malibu,"" which is clearly inspired by her rekindled relationship with Liam Hemsworth, and during an interview with SiriusXM's Hits 1 in Hollywood earlier this week, the 24-year-old singer further opened up about her 2013 split from Liam. ""I think — know — that everything is happening for the right reason, and I knew that when we weren't together for the first time,"" Miley said of the advice she would give her younger self. ""I didn't know if that was the end of it, or if we'd be back together again, but knew that wherever I was going, I was on the right path."""	Legit
Celebrity	Miley Cyrus and Liam Hemsworth Maybe Got Secret-Married Last April	"In September, Miley Cyrus told The Sun on Sunday that she and her fiancé Liam Hemsworth had no wedding plans anytime soon. ""I don’t envision marriage,"" she told The Sun on Sunday. ""I’m 24. I hope to get to live a little bit more. I have too much living to do [before I get married]."" (Her mother Tish Cyrus made the same point when asked about a rumored Miley-Liam elopement in June, too.)"	Fake
Celebrity	The new directions of One Direction: what do the solo projects tell us?	This morning, One Direction’s Liam Payne dropped Stripped Down, his debut single, which can best be described as something that certainly exists.	Legit
Celebrity	Kendall Jenner Banned From NBA Over 'Kardashian Curse'	Kendall Jenner hopes to watch her new man play at courtside this season, but NBA bosses are playing hardball with the Leggy 21-year-old model!	Fake
Celebrity	Josh Duhamel was over Fergie ‘being a rock star again’	Josh Duhamel was tired of his pop-star wife Fergie’s “partying” before their breakup, we’re told.	Fake
Celebrity	Jennifer Aniston Cheated On Brad Pitt  ith Matt LeBlanc  hile Married? - Report	Brad Pitt, 51, may not have been the only one with a wandering eye during his marriage to Jennifer Aniston, 46. An explosive new interview with Matt LeBlanc's dad, Paul LeBlanc, reveals that the actress actually cheated on her then-husband with her Friends co-star long before Brad met Angelina Jolie, 40, on the set of Mr. and Mrs. Smith!	Fake
Celebrity	The Secret to Ellen DeGeneres' Ageless Look	"Makeup artist Pati Dubroff has worked with Ellen DeGeneres on ad campaigns and fashion spreads galore, so she knew exactly what look would work best on the talk show host for Shape's May cover shoot-natural and understated with just a hint of color. She used a damp wedge sponge to perfect our cover model's skin with just a touch of CoverGirl Simply Ageless Concealer and Corrector. ""Ellen's skin has a natural glow already, so she doesn't need much makeup,"" says Pati. Not all of us are blessed with such youthful skin, but you can get an amazing complexion like Ellen's with these anti-aging tips from the makeup pro:"	Legit
Celebrity	Anna Faris Feels Insecure Because Of Her Husband's Affair with Jennifer Lawrence! Is Chris Pratt To Blame? – Live Rumours	Jennifer Lawrence, who is heart of millions of boys, recently made all her fans shocked.  ell it was not in the movie, but from the news; rather we say a rumour having an affair with Chris Pratt. Most of us' mind freeze because of these alleged highlights in tabloids, but later both of them finely denied. As of Jennifer's choice, she has chosen to be single for now; while Chris is already tied with Anna Faris. Faris feels insecurity because of this faked news fueling the tabloids about love between her husband Chris and Jennifer though.  ell, is it true or not, we will cover it in this article!	Fake
Celebrity	Drake Invites Taylor Swift To Stay At His House After Alleged Stalking Incident	"""Taylor [Swift] being stalked and freaked out about it doesn't sit well with Drake. He's real heated that she has lunatics intruding on her personal space, and he's told her he'd personally send a few of his boys to keep an eye on her and be her bodyguards. He's definitely been comforting for her! He's telling her everything is going to be alright and wants to make absolute certain that she feels safe and secure when she's out in public."	Fake
Celebrity	It's Over! Jennifer Lawrence & Darren Aronofsky's Hot Fling Cools ALREADY	Jennifer Lawrence and Darren Aronofsky are already cooling down and taking a break from their intense romance, RadarOnline.com can exclusively reveal.	Fake
Celebrity	Kim Kardashian displays shocking hair loss after 'relying on weaves'	She's left fans green with envy thanks to her incredible post-pregnancy weight loss. 	Fake
Celebrity	Prince Harry is Moving to the US to Find a  ife!	Prince Harry is moving across the pond - and has big plans to find a wife in the US!	Fake
Celebrity		Kanye  est Enraged Taylor Swift Referenced Kim Kardashian’s Robbery In Music Video	Fake
Celebrity	rad Pitt attends charity concert with Sting in rare public appearance following split from Angelina Jolie	Brad Pitt reemerged in the spotlight Saturday after keeping a low profile for months following his split from Angelina Jolie.	Legit
Celebrity	Brad Pitt's Side of the Story: He 'Did Not Hit' Maddox as Plane Fight with Angelina Jolie 'Got Out of Hand,' Says Source	Brad Pitt did not strike his son Maddox during a heated mid-flight argument with Angelina Jolie last week, according to a source with knowledge of the situation.	Legit
Celebrity	Taylor Swift Spending Millions of Dollars on New Boyfriend, Joe Alwyn: False News or True? | Celeb Dirty Laundry	Pop superstar Taylor Swift is buying new boyfriend Joe Alwyn by squandering millions of dollars on her lover according to some reports. Taylor has always been the bigger money earner in all of her relationships. Even though past boyfriends such as Jake Gyllenhaal, John Mayer, Tom Hiddleston, and Calvin Harris were millionaires, their bank accounts still paled in comparison to Taylor’s whopping $300 million estimated net worth.	Fake
Celebrity	Jennifer Lawrence 'stripped naked and demanded Kanye  est styled her' after drinking five martinis at Kris Jenner's house	Jennifer Lawrence ended up naked in Kris Jenner's wardrobe after downing five martinis.	Fake
Celebrity	Sorry ASAP Rocky, Kendall Jenner Has A Desperate Plan To  in Back Harry Styles!	Kendall Jenner is dating rapper ASAP Rocky, but according to a source, she has devised a plan to win back her ex, Harry Styles! All she has to do is what she does best — send nudes!	Fake
Celebrity	Kirsten Dunst suddenly breaks down in tears at Cannes Film Festival	She gained global recognition for her role in Interview  ith The Vampire at the tender age of 12, so she is no stranger to commanding attention on the red carpet.	Fake
Celebrity	Glenn Close denies that she pipped Meryl Streep to play Hillary Clinton	Forget what you heard: Glenn Close has not pipped Meryl Streep to play Hillary Clinton in an upcoming movie about the former Secretary of State and presidential hopeful's life.	Legit
Celebrity	AMAL CLOONEY IS THE MOST INFLUENTIAL  OMAN IN LONDON	You'd be forgiven for thinking the most powerful woman in London might be the Duchess of Cambridge, or even supermodel Kate Moss. In fact, it's George Clooney's new bride who has taken out the top spot.	Legit
Celebrity	Dream Scenario? Khloe  ants To Adopt Rob's Daughter!	Khloe Kardashian has formed such an intense bond with her niece Dream, she has told her brother Rob she wants to adopt her, RadarOnline.com has exclusively learned.	Fake
Celebrity	Kendall Jenner:  hy She’s Quitting ‘KU TK’ But Remains Proud Of Kylie’s Spin-off Show	Kendall Jenner continues to distance herself from the reality show platform that made her family a household name, with sources stressing that the model wants to have a legitimate career.	Fake
Celebrity	Kylie Jenner's Plastic Surgeon Has a Message About Her Lip Fillers	 hile the internet hunts for clues about Kylie Jenner's maybe pregnancy (along with Khloé Kardashian's maybe pregnancy and Kim Kardashian's confirmed pregnancy), at least one person has wondered, what of the reality star's famous lip fillers?	Legit
Celebrity	Kendall Jenner cries over Pepsi ad backlash in ‘Keeping Up  ith the Kardashians’ premiere	Remember Pepsi’s tone-deaf Kendall Jenner commercial back in April? The one that made people furious, because it appropriated images from Black Lives Matter protests to sell soda?	Legit
Celebrity	The  eeknd  as Spotted Holding Hands  ith Justin Bieber’s Ex	If you’re an avid US  eekly reader, it might appear that there are only about a dozen single people in Hollywood, as they all date each other. It’s like six degrees of separation with Kevin Bacon, only for influencers with a penchant for fit tea and waist trainers, where Scott Disick is the connecting factor.	Fake
Celebrity	Victoria Beckham and Anna  intour among those named in New Year's Honours list	Tennis world number one Andy Murray has been awarded a knighthood in the Queen's New Year's Honours List - making him Britain's youngest Sir in modern times - alongside athlete Mo Farah and dressage rider Lee Pearson. Heptathlete Jessica Ennis-Hill and rower Katherine Grainger have been named dames.	Legit
Celebrity	This Is  hy Taylor Swift Is Skipping the 2016 MTV Video Music Awards	There's a blank space in the VMAs seating chart this year, baby. Taylor Swift will not be attending the MTV Video Music Awards on Sunday, August 28, multiple sources confirm to Us  eekly.	Legit
Celebrity	Obama Says Leaving Malia at College  as ‘Like Open-Heart Surgery’	After Malia Obama went off to Harvard University last month, her father couldn’t hold back the tears.	Legit
Celebrity	'Jealous' Kim Tries To Steal Beyonce's Baby Spotlight	 hile the Bey Hive was buzzing yesterday about Beyonce's shocking baby news, RadarOnline.com has learned that Kim Kardashian was busy with her own plan to steal back the spotlight!	Fake
Celebrity	Jennifer Lopez and Alex Rodriguez are dating, and the rumors are coming in hot	Jennifer Lopez and recently retired baseball hero Alex Rodriguez are dating, according to reports that have been bubbling up all week.	Legit
Celebrity		Inside Ben Affleck and Jennifer Garner's Family Vacation in the Bahamas, Two Months After Filing for Divorce	Legit
Celebrity	Kathy Griffin feels ‘betrayed’ by Anderson Cooper after CNN firing	 hile Kathy Griffin continues her sympathy crusade after weathering a storm of criticism for her terrible Trump severed-head photo, sources say she’s seething about how Anderson Cooper dropped her from his CNN New Year’s Eve broadcast like a hot potato.	Fake
Celebrity		 hite  itch warns Angelina against using spells to woo back Brad	Fake
Celebrity	EXCLUSIVE:  HERE  ILLIAM, KATE, AND GEORGE ARE HEADED FOR A MONTH-LONG SUMMER VACATION	They have spent the last two days supporting Great Britain at the Commonwealth Games in Glasgow, but __ illiam__and __Kate__can look forward to a well-deserved month off in August.	Legit
Celebrity	Caitlyn Jenner's Memoir Reportedly Lands Movie Adaptation, Rob Lowe May Play Her	Report says that the 'How to Be a Latin Lover' actor is currently in talks to play the reality show star in a possible movie based on her new memoir 'The Secrets of My Life'.	Fake
Celebrity	Is Jared Leto, 45, Crushing On 19-Year-old Paris Jackson?	Jared Leto has his eye on a pretty young thing: 19-year-old Paris Jackson! The duo crossed paths at the Harper’s Bazaar Icons party in NYC on Sept. 8, where the actor, 45, “was definitely making a play for her,” says an insider. “He was staring directly into her eyes while she was talking and they were standing really close. They spoke for a long time and she was laughing a lot.” Still, the Oscar winner struck out, as Paris eventually left to be with her friends — though not before Jared snuck in a kiss on her cheek! Adds the insider: “It was obvious that he was super into her, age difference be damned.”	Fake
Celebrity	Kim Kardashian's 'Fears  ill Explode' If Kanye  est Runs For President: She's 'Very Nervous'	"""Kanye [ est]'s talking more and more about stepping into politics, but Kim [Kardashian] is extremely hesitant for him to go down that path. She's very nervous about the kind of hatred that would be focused on him and their family if he were to run for president. Before the robbery, she wasn't as scared, but now she lives in constant fear. If Kanye runs for president, those fears will explode,"" a source tells HollywoodLife.com EXCLUSIVELY."	Fake
Celebrity	 atch Barack Obama's sweet surprise for Michelle on their 25th anniversary	Already known for his sweet messages to his wife on birthdays and holidays, Barack Obama went big for his 25th wedding anniversary with Michelle on Tuesday.	Legit
Celebrity	Kim Kardashian Hires Team To Help Her Become More ‘Political’ – ‘I  ant To Speak Out More About Political Issues’	The controversial reality TV star really wants to change her reputation.  e have learned that Kim Kardashian wants to have a much more political image and she’s already making the first few steps in that direction.	Fake
Celebrity	EXCLUSIVE PICS: First photos of Ariana Grande since Manchester attack	An emotional Ariana Grande was spotted for the first time since the terror attack at her Manchester concert on Monday as she touched down in her hometown of Boca Raton, Florida.	Fake
Celebrity	'It was a long time coming': Heidi Klum ends seven-year marriage over Seal's 'volcanic temper'	Seal and Heidi Klum insisted their split was 'amicable' yesterday despite reports that the supermodel could no longer put up with the Kiss from a Rose singer's volcanic temper.	Fake
Celebrity	Jennifer Aniston on the Exact Moment She Had It  ith the Pregnancy Rumors	"In July, Jennifer Aniston powerfully spoke out against the constant tabloid pregnancy rumors about her that have circulated through the years, in an op-ed for Huffington Post. ""For the record, I am not pregnant,"" she wrote in it. "" hat I am is fed up. I'm fed up with the sport-like scrutiny and body shaming that occurs daily under the guise of 'journalism,' the 'First Amendment,' and 'celebrity news.'"""	Fake
Celebrity	Kim Kardashian  est confirms baby on the way	"Kim Kardashian  est tweeted a clip Thursday from a promo of the new season of her family's E! series ""Keeping Up  ith the Kardashians."""	Legit
Celebrity	Selena Gomez And Jennifer Aniston Double Date: Jen's Comments About  eeknd  ere Lies	Selena Gomez is currently dating The  eeknd. Her bestfriend Jennifer Aniston is supportive of her but their relationship is sometimes targeted by rumor mongers.	Legit
Celebrity	Beyonce & Jay-Z Hire Former President Obama’s Secret Service Team	They’ve got 99 problems, but security ain’t one! Beyoncé and Jay-Z asked longtime pal former President Barack Obama’s secret service detail to help protect their family after welcoming twins Rumi and Sir last month.	Fake
Celebrity	‘Megyn Kelly Today’ Ratings Not All Sunshine for NBC’s New Morning Host	 ith its host reportedly making a salary of $17 million a year and a new set having been constructed within NBC’s Rockefeller Plaza headquarters in Midtown Manhattan, “Megyn Kelly Today” is more costly than the previous 9 a.m. segment of “Today.” Losing viewers, in the long run, would be a problem.	Legit
Celebrity	Cher: Ready To Die!	The beat no longer goes on for CHER.	Fake
Celebrity		Taylor Swift seems to be naked in new music video	Legit
Celebrity	Inside Rob K. & Mehgan James' Romance:  hy His Fam ''Doesn't Approve''	UPDATE: As new reports continue to surface regarding Rob Kardashian's relationship with Mehgan James, both took to social media to weigh in on the matter.	Fake
Celebrity	Katie Holmes on reprising her role as Jacqueline Kennedy	"Katie Holmes is reprising her role as Jacqueline Kennedy for the new mini-series, ""The Kennedys: After Camelot."""	Legit
Celebrity	Selena Gomez and The  eeknd Hold Hands for a Romantic Stroll in Argentina	It was no lonely day for The  eeknd.	Legit
Celebrity	Justin Bieber apparently wrote a ‘Love Bible’ about Selena Gomez, and it’s sweet but super weird	There have been numerous reports of Justin Bieber spending time in church in the past few months, but what we didn't realize was it wasn't any old church he was visiting — it was the church of past relationships.	Fake
Celebrity	" hat Taylor Swift and Joe Alwyn’s ""Very Normal"" Relationship Is Like"	"Taylor Swift and Joe Alwyn are currently doing the private relationship thing: They haven’t stepped out in public together and the only way Swift has talked about her British boyfriend of almost a year is through song (""…Ready For It?"" and ""Gorgeous,"" according to fans). But Us  eekly has a report on how things are going for the two these days. Alwyn and Swift are “very much in love,” a source told the outlet."	Legit
Celebrity	OK! Exclusive: Lindsay Lohan Plans To Move To Russia After Her  edding To Egor Tarabasov Amid Her Feud  ith Her Parents Over The Ceremony	As her wedding plans for her nuptials to Egor Tarabasov continue to take shape, an insider has revealed to OKMagazine.com that Lindsay Lohan may be making a major move following the ceremony!	Fake
Celebrity	'Dancing  ith The Stars': Donald Trump Asked To Star In Show & He Hasn't Said No	 hat the heck?! Donald Trump seems pretty busy on the campaign trail, but he's been invited to take some time off to try his hand (or feet?) at dancing! Apparently Dancing with the Stars has asked Donald to join the Season 23 cast!	Fake
Celebrity	 hat Nicki Minaj wore to Serena  illiams' wedding is not really OK ... rocking on up in white leather hotpants and a crop top is kinda too much.		Fake
Celebrity	"Caitlyn Jenner and O.J. Simpson Are Set to Reunite on TV: ""It  ould Be Fascinating!"" (EXCLUSIVE)"	It’s hard to get much more sensational than this: a TV show pairing the world’s most famous transgender celebrity with the world’s most famous acquitted murder suspect — especially when both have connections to the Kardashians! Life & Style has exclusively learned that TV producers have come up with an idea to bring O.J. Simpson and his old pal Caitlyn Jenner together in a televised reunion.	Fake
Celebrity	Melania Trump 'will wear Ralph Lauren at her husband's inauguration'	Ralph Lauren is the latest frontrunner in the race to design Melania Trump's inauguration outfit,  omen's  ear Daily reported Tuesday.	Legit
Celebrity	Beyonce's Officially Gone Overboard  ith Her CRAZY Delivery Plan Demands & Here's  hy	There’s no denying that Beyonce is one of Hollywood’s biggest diva’s but new sources suggest her demands just got even crazier. In anticipation of the arrival of their beloved twins, the singer and her husband Jay-Z have concocted a delivery plan so insane you’d think they’re royalty. On the heels of reports that the famous couple have moved to a rental property close to Los Angeles’ Cedars-Sinai hospital, where Bey’s due to give birth, insiders tell Heat magazine that “the event is set to be a no-expense-spared extravaganza.” Click through to get the scoop inside Beyonce’s delivery room plans, and how the couple’s daughter, Blue Ivy, will have a very peculiar role in the process.	Fake
Celebrity	Selena Gomez and Orlando Bloom Party Together at His 39th Birthday Party	Selena Gomez and Orlando Bloom are enjoying each other's company once again.	Legit
Celebrity	Jamie Foxx and Katie Holmes Hit New York Fashion  eek	Jamie Foxxand Katie Holmes have hit the Big Apple. 	Legit
Celebrity	Tyra Banks Sued for Causing 'Emotional Distress' During ‘America’s Got Talent’ Taping	*A contestant on “America’s Got Talent” says her performance at a recent taping was roasted so viciously by new host Tyra Banks that it has caused emotional distress to her young daughter, who was watching from the wings.	Fake
Celebrity	" ho Is Mark Billingham? The Bodyguard Claims He ""Fathered"" Brangelina's Kids"	"Since the news of Brad Pitt and Angelina Jolie's split, many have wondered what will happen to the couple's six kids.  ill they stay with mom, or with dad, or some combination of the two? Or could a third person have parenting rights as well? Enter Mark Billingham, the star couple's bodyguard. Billingham said he basically ""fathered"" the children, according to Us  eekly."	Legit
Celebrity	New Suicide Fears For Owen  ilson After Dad’s Death	The death of Owen  ilson’s beloved dad has friends fearing the tortured actor might spiral back into a pit of depression!	Fake
Celebrity	BRAD PITT : No Doubt, TRUMP  ill Be The Best President In U.S History. Do You Support Him? ⋆	Brad Pitt  as Invited At Today show This Morning And After Journalist Critic To Trump He Says This  ords : No Doubt, Trump  ill Be The Best President In U.S History And You  ill This Soon. Against Journalists And Everyone Stayed Outraged . Do You Support Brad ?“ e need more and more jobs. Unemployment is way up here,” he said. He’s hired more employees, more people, than anyone I know in the world.	Fake
Celebrity	Is Angelina Jolie Nemesis Chelsea Handler Getting Close To Brad Pitt After Heartbreaking Split?	 e did not see this coming. Angelina Jolie’s worst Hollywood enemy, Chelsea Handler, might be getting a little too close to former lover Brad Pitt, according to a new report. Ouch!	Fake
Celebrity		Angelina Jolie Embraces Her Inner- itch, and Inner-Mom	Legit
Celebrity		Justin Bieber carries a bible while donning preppy tennis clothes	Legit
Celebrity	The Mystery of How Kendall Met the Hadids Has Been Solved	Not too long ago Kendall Jenner and Gigi Hadid were just two young, unconnected girls who occasionally appeared on their family members' reality television show. Then the world blinked and all the sudden they were burgeoning supermodels and super influencers. Then the world blinked again and they were bonafide supermodel BFFs. Another blink and their sisters, Kylie and Bella, were also burgeoning influence and burgeoning models in their own right.	Legit
Celebrity	Barack & Michelle Obama's Marriage Meltdown - How It's Costing Taxpayers Millions!	Barack Obama and his wife Michelle continues to falls apart in the wake of the president's womanizing. Now it's costing taxpayers millions! The bitter marriage betweenandcontinues to falls apart in the wake of the president's womanizing. Now it's costing taxpayers millions! The National ENQUIRER has seen exclusive records obtained by the government watchdogs of Judicial  atch - revealing that the feuding couple took separate private planes to take off to Hawaii for Christmas vacation!	Fake
Celebrity	Kylie Jenner Sets the Record Straight About Reports Tyga Owes Her $2 Million	Defending her ex. Kylie Jenner took to Twitter on Friday, May 27, to address reports that her ex-boyfriend Tyga owes her $2 million.	Legit
Celebrity	One Direction's Harry Styles Enjoys Skiing Holiday  ith Kendall Jenner Amid Romance Claims	The 'Best Song Ever' star and Kendall were seen carrying their skiing and snowboarding gear together over the weekend.	Legit
Celebrity	Here's  hat Happened  hen Kim Kardashian Finally Revealed Her Identity To Her Surrogate	Kim also explained in the interview why she didn't invite the surrogate to her baby shower. (She has to explain to whole sitch to her kids first.) Overall, it sounds like Kim and her surrogate have a solid relationship.	Legit
Celebrity	Khloe Kardashian slams haters who've been trolling her since OJ Simpson was granted parole	Khloe Kardashian has no time for haters.	Legit
Celebrity	http://www.dailymail.co.uk/tvshowbiz/article-5056567/Jennifer-Lopez-gets-cozy-star-Milo-Ventimiglia.html	Jennifer Lopez gets cozy with on-screen boyfriend Milo Ventimiglia	Fake
Celebrity	Leonardo DiCaprio Enjoys A Date Night  ith Kate  inslet For His Birthday — See The Pics!	Leonardo DiCaprio cozied up to his most famous co-star, Kate  inslet, on Friday night, just one day ahead of his 43rd birthday on Saturday. The two spent over two hours together at the Santa Monica restaurant Giorgio Baldi, after which they were escorted out by security and got into the same car together. Click through to see the pics of their intimate night out!	Fake
Celebrity	Pop insiders claim Justin Bieber cancelled long-running tour as he's considering starting his own church	"POP insiders sensationally claim Justin Bieber may have cancelled his current long-running tour so he can start up his own CHURCH. Bieber shocked millions of fans yesterday when he revealed he was calling off the Purpose tour months before it was due to end as he was ""burned out."" The Canadian has revealed he wants to get back to his religious roots"	Fake
Celebrity	Kim, Kourtney & Khloe Kardashian Celebrate Cinco de Mayo in LA!	The Kardashian sisters are having a Cinco de Mayo celebration!	Legit
Celebrity	 hy Justin Timberlake Didn’t Go to the Emmys  ith Jessica Biel	Jessica Biel stunned at the 2017 Emmy Awards in L.A. on Sunday, September 17, without her usual award show date, husband Justin Timberlake, by her side — and it turns out that the actress, 35, was riding solo for a very good reason.	Legit
Celebrity	David Gest found dead at 62: Liza Minnelli's ex husband discovered after 'unexplained' death in London hotel	"David Gest, the reality TV star and former husband of Liza Minnelli, has been found dead in a five-star London hotel in ""unexplained"" circumstances."	Legit
Celebrity	About That Time Princess Diana  atched The Golden Girls and Crashed a Gay Bar with Freddie Mercury	Princess Diana may have had more fun while married into the British royal family than we had originally thought. In her new book, British comedy actress Cleo Rocos says that she, Queen front man Freddie Mercury, and comedian Kenny Everett sneaked Princess Diana into a south-London gay bar, Royal Vauxhall Tavern, in the late 1980s. Rocos recalls the evening in The Power of Positive Drinking, writing that the trio dressed up the beloved late royal in disguise-an army jacket, cap, and sunglasses, according to an account of the story by the A.F.P.-and were able to enjoy themselves covertly thanks to Mercury's popularity in the crowd:	Legit
Celebrity	Kitesurfing, Lunch with Bono, Golfing in Hawaii: All About the Obamas' Life Now	They've broken free of the  hite House bubble and they're not looking back.	Legit
Celebrity	J-Rod! Jennifer Lopez and Alex Rodriguez on Love, Beauty, and Redemption	Despite the surreal fame—and baggage—carried by Jennifer Lopez and Alex Rodriguez, their relationship makes perfect sense. Both started from modest backgrounds, hit the big time fast, and had to battle their own demons to survive. The new couple discuss everything from their nerve-racking first date to the “reveals” that forged their bond.	Legit
Celebrity	Lady Gaga is not pregnant, says representative 	"LOS ANGELES: Lady Gaga 's representative has denied reports that the singer is pregnant The rumours were sparked after Gaga was seen sporting what appeared to be a baby bump last week. A magazine claimed in its latest issue that the 29-year-old had ""baby on the way.""However, the report was debunked by Gaga's representative. The representative told Rumor Fix tabloid that Gaga is not expecting a child with her fiance Taylor Kinney, reports aceshowbiz.com.Fans who were in shock took to Twitter to post photographs of Gaga with ""baby bump"".Some images showed her hitting the beach with a tight, cream-coloured maxi dress, while in other photographs she was seen wearing a blue kaftan dress when hitting Malibu beach with Kinney.Gaga shared on Instagram a photograph of her with flat tummy on  ednesday. ""Daddy's Girl"", she captioned it.However, this is not the first time the singer is rumoured to be pregnant. Earlier also there have been speculations on it."	Legit
Celebrity	"Kourtney and Kendall Have a ""Sun's Out, Buns Out"" Boat Day in Cannes"	Kourtney Kardashian and Kendall Jenner are currently living it up in the South of France for the Cannes Film Festival, and the sisters got in some swimsuit time while relaxing on a yacht in Antibes on Monday; the pair was spotted lounging and chatting in one-pieces with friend Simon Huck. The next day, they kept the fun coming by donning their best nautical wear for a day on the water. Before their envious yacht lounging, Kourtney attended a dinner in celebration of Jean-Michel Cousteau's  onders of the Sea on Sunday, while Kendall stomped the runway for Naomi Campbell's annual Fashion For Relief event, which also brought out Kate Moss, Heidi Klum, and Kendall's pal Bella Hadid. Keep reading to see all the photos from Kourtney and Kendall's Cannes adventures.	Legit
Celebrity	Selena Gomez being eyed as 'American Idol' judge	"Singer is reportedly being eyed as a judge along with singer for the singing reality show ""American Idol""."	Fake
Celebrity	Ellen, Portia cancel appearance after 'epic' fight	Ellen DeGeneres and Portia de Rossi didn't show up at a charity fund-raiser for rescued animals after having a huge fight in the car on the way to Sunday's event, sources tell Page Six.	Fake
Celebrity	It's All About The Ka$h! Kim Kardashian & Kanye  est Refuse Charity Donation To Settle Lawsuit  ith YouTube Founder Over Engagement Video	It's all about the kash with Kim Kardashian and Kanye  est!	Fake
Celebrity	Hillary Clinton The Movie - Starring Glenn Close!	A movie is in the works about Hillary Clinton and her amazing life, and legendary actress Glenn Close has been chosen to play the former first lady and presidential candidate!	Fake
Celebrity	Owen  ilson Says His Kids Are Turning into Little Comedians –  atch!	Owen  ilson is opening up about his kids’ potential careers in comedy!	Legit
Celebrity	Selena Gomez Is ‘Crazy In Love’  ith Justin After Reuniting: She’s ‘Light & Joyful’	If Selena Gomez seems like she’s living her best life since reuniting with Justin Bieber — she is!  e’ve got the EXCLUSIVE that Sel’s in ‘love’ and happy to be back with Biebs.	Fake
Celebrity	Hats off to love! Jennifer Lawrence, 26, and Darren Aronofsky, 47, go public with their romance as they bundle up for stroll in NYC	They had been keeping their budding romance under wraps but it seems that Jennifer Lawrence and Darren Aronofsky have made a New Year's resolution to be more open about their relationship.	Legit
